,Year,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
1534,1993,MT,839000,40188,1489,38699,25,234,272,958,5992,30641,2066
1535,1994,MT,856000,42961,1516,41445,28,233,280,975,6178,32817,2450
1536,1995,MT,870000,41737,1491,40246,35,231,253,972,5060,32797,2389
1537,1996,MT,879000,39499,1415,38084,34,238,261,882,4908,30928,2248
1538,1997,MT,879000,38753,1161,37592,42,171,179,769,5002,30411,2179
1539,1998,MT,880000,35822,1221,34601,36,157,175,853,4501,28086,2014
1540,1999,MT,882779,31193,2090,29103,22,293,239,1536,3876,23353,1874
1541,2000,MT,902195,31878,2171,29707,16,301,249,1605,3946,23805,1956
1542,2001,MT,905382,33362,3187,30175,34,188,230,2735,3670,24684,1821
1543,2002,MT,910372,31948,3197,28751,16,237,283,2661,3289,23679,1783
1544,2003,MT,918157,31779,3351,28428,30,246,298,2777,3722,22800,1906
1545,2004,MT,926920,29938,2723,27215,30,273,233,2187,3515,22082,1618
1546,2005,MT,934737,32041,2634,29407,18,301,177,2138,3642,23794,1917
1547,2006,MT,944632,27784,2397,25387,17,269,164,1914,2935,20704,1748
1548,2007,MT,957861,28243,2754,26489,14,290,191,2259,3027,21707,1755
1549,2008,MT,968035,29241,2918,26323,33,346,203,2336,3654,20898,1771
1550,2009,MT,974989,27624,2798,24826,32,357,228,2181,3686,19528,1612
1551,2010,MT,990958,28142,2733,25409,25,332,154,2222,3692,20166,1551
1552,2011,MT,997677,26640,2755,23885,29,366,171,2189,3347,19089,1449
1553,2012,MT,1005494,28905,2803,26102,29,392,202,2180,3920,20484,1698
1554,2013,MT,1014864,29119,2924,26195,23,382,217,2217,4122,20192,1881
1555,2014,MT,1023252,28886,3361,25525,38,396,202,2563,3639,19826,2060
1556,2015,MT,1032073,30923,3647,27276,38,405,210,2827,3887,20966,2423
1557,2016,MT,1042520,31816,3840,27976,36,414,266,2960,3934,21299,2743
1558,2017,MT,1053090,31231,3937,27294,41,639,234,3023,3623,21073,2598
1559,2018,MT,1060665,30827,4040,26787,37,569,270,3164,3329,20641,2817
1560,2019,MT,1068778,27768,4328,23440,27,624,205,3472,2887,18176,2377
1561,1960,NE,1411330,17213,590,16623,33,59,253,245,3267,11586,1770
1562,1961,NE,1431000,18342,586,17756,34,47,234,271,3730,12372,1654
1563,1962,NE,1484000,19173,637,18536,23,93,275,246,3894,12846,1796
1564,1963,NE,1460000,20893,591,20302,29,102,227,233,4290,14181,1831
1565,1964,NE,1480000,23705,776,22929,34,85,306,351,4832,15895,2202
1566,1965,NE,1477000,27055,852,26203,36,76,324,416,5684,18115,2404
1567,1966,NE,1456000,28037,941,27096,26,97,362,456,6117,18448,2531
1568,1967,NE,1435000,30031,1624,28407,39,117,556,912,7056,18651,2700
1569,1968,NE,1437000,34603,2103,32500,33,103,713,1254,7292,20862,4346
1570,1969,NE,1449000,35519,2302,33217,36,98,751,1417,6989,22106,4122
1571,1970,NE,1483791,37880,2731,35149,44,138,850,1699,7486,23332,4331
1572,1971,NE,1512000,38388,2355,36033,39,212,544,1560,8337,23846,3850
1573,1972,NE,1525000,40084,2638,37446,44,212,803,1579,8489,24968,3989
1574,1973,NE,1542000,43349,2859,40490,67,254,964,1574,9828,25994,4668
1575,1974,NE,1543000,51603,3697,47906,55,291,1404,1947,11939,31685,4282
1576,1975,NE,1546000,55873,3986,51887,66,297,1398,2225,11752,36563,3572
1577,1976,NE,1553000,55317,3269,52048,45,318,979,1927,10626,37795,3627
1578,1977,NE,1561000,55019,3113,51906,61,282,1010,1760,11864,36154,3888
1579,1978,NE,1565000,53856,2982,50874,47,286,1015,1634,11687,35794,3393
1580,1979,NE,1574000,62851,3556,59295,65,338,1157,1996,12804,42195,4296
1581,1980,NE,1563921,67330,3512,63818,69,363,1286,1794,14316,45692,3810
1582,1981,NE,1576000,65838,2861,62977,49,323,1115,1374,14383,45324,3270
1583,1982,NE,1586000,62660,3641,59019,31,329,982,2299,12867,43331,2821
1584,1983,NE,1597000,60489,3477,57012,42,339,796,2300,12408,42026,2578
1585,1984,NE,1606000,56153,3627,52526,54,381,693,2499,10339,39875,2312
1586,1985,NE,1606000,59335,3821,55514,47,376,779,2619,11730,41278,2506
1587,1986,NE,1598000,61614,4196,57418,50,393,817,2936,11956,42784,2678
1588,1987,NE,1594000,65857,4004,61853,55,345,751,2853,13516,45692,2645
1589,1988,NE,1601000,66282,4374,61908,58,385,898,3033,12251,46634,3023
1590,1989,NE,1611000,65916,4503,61413,40,381,837,3245,12010,46403,3000
1591,1990,NE,1578385,66499,5209,61290,43,473,807,3886,11424,47054,2812
1592,1991,NE,1593000,69361,5330,64031,52,447,861,3970,11574,49071,3386
1593,1992,NE,1606000,69444,5598,63846,68,504,911,4115,11477,49144,3225
1594,1993,NE,1607000,68796,6071,62725,63,447,1003,4558,10662,46811,5252
1595,1994,NE,1623000,72068,6322,65746,51,500,1223,4548,10963,48547,6236
1596,1995,NE,1637000,74393,6253,68140,48,317,1067,4821,10344,52044,5752
1597,1996,NE,1652000,73292,7182,66110,48,447,1052,5635,10152,50315,5643
1598,1997,NE,1657000,70982,7265,63717,50,406,1097,5712,9813,48363,5541
1599,1998,NE,1663000,73259,7507,65752,51,417,1290,5749,10544,49420,5788
1600,1999,NE,1666028,68444,7167,61277,60,414,1264,5429,10158,45679,5440
1601,2000,NE,1711263,70085,5606,64479,63,436,1147,3960,10131,49118,5230
1602,2001,NE,1720039,74177,5214,68963,43,431,1128,3612,9760,52713,6490
1603,2002,NE,1727564,73606,5428,68178,48,464,1359,3557,10329,51440,6409
1604,2003,NE,1737475,70294,5105,65189,56,504,1165,3380,10133,48924,6132
1605,2004,NE,1747704,66905,5393,61512,40,620,1138,3595,9826,46399,5287
1606,2005,NE,1758163,65400,5052,60348,44,581,1040,3387,9408,45359,5581
1607,2006,NE,1768331,64123,5048,59075,50,548,1129,3256,9452,44585,5038
1608,2007,NE,1774571,59469,5367,56102,68,527,1108,3664,9046,41855,5201
1609,2008,NE,1781949,56870,5537,51333,69,600,1297,3571,8717,38393,4223
1610,2009,NE,1796619,54930,5199,49731,41,617,1220,3321,8726,37496,3509
1611,2010,NE,1830141,53920,5093,48827,54,674,1020,3345,8318,36896,3613
1612,2011,NE,1842234,55566,4672,50894,68,699,993,2912,8725,38060,4109
1613,2012,NE,1855350,56005,4802,51203,52,710,1128,2912,8745,38301,4157
1614,2013,NE,1868969,54146,4949,49197,56,621,1035,3011,8945,35791,4461
1615,2014,NE,1882980,52727,5201,47526,53,645,1044,3226,7936,35063,4527
1616,2015,NE,1893765,47764,5167,42597,62,648,994,3226,6443,32148,4006
1617,2016,NE,1907116,48713,5550,43163,49,738,946,3561,6444,31994,4725
1618,2017,NE,1917575,49835,5979,43856,42,1191,1020,3726,6513,32064,5279
1619,2018,NE,1925614,45776,5583,40193,44,1290,736,3513,5308,29987,4898
1620,2019,NE,1934408,45270,5821,39449,45,1253,792,3731,4745,29719,4985
1621,1960,NV,285278,9815,416,9399,25,36,211,144,2606,5675,1118
1622,1961,NV,299000,10825,549,10276,21,24,317,187,2724,6136,1416
1623,1962,NV,335000,12423,711,11712,27,66,357,261,2971,7054,1687
1624,1963,NV,368000,16892,755,16137,29,60,437,229,4221,9441,2475
1625,1964,NV,408000,17364,983,16381,32,54,448,449,4416,9856,2109
1626,1965,NV,440000,16518,953,15565,37,68,429,419,3863,9779,1923
1627,1966,NV,454000,16459,987,15472,48,52,440,447,4229,9494,1749
1628,1967,NV,444000,19110,1100,18010,48,64,523,465,4734,11159,2117
1629,1968,NV,453000,20213,1261,18952,25,79,647,510,5808,11107,2037
1630,1969,NV,457000,23516,1642,21874,41,94,781,726,6245,13069,2560
1631,1970,NV,488738,28170,1948,26222,43,96,921,888,8116,14877,3229
1632,1971,NV,507000,27690,1887,25803,58,135,868,826,7635,15094,3074
1633,1972,NV,527000,30830,2264,28566,71,179,1002,1012,9262,16335,2969
1634,1973,NV,548000,36344,3135,33209,67,252,1436,1380,11781,18079,3349
1635,1974,NV,573000,44849,3910,40939,85,259,1592,1974,14053,23413,3473
1636,1975,NV,592000,48265,4018,44247,77,279,1791,1871,14487,26741,3019
1637,1976,NV,610000,50667,4215,46452,70,288,1799,2058,14594,28776,3082
1638,1977,NV,633000,50437,4703,45734,100,311,2045,2247,15528,26666,3540
1639,1978,NV,660000,54693,5153,49540,102,356,2373,2322,17551,28018,3971
1640,1979,NV,702000,61998,5866,56132,123,418,2861,2464,19799,31388,4945
1641,1980,NV,800312,70860,7304,63556,160,538,3686,2920,23263,34864,5429
1642,1981,NV,845000,72602,7575,65027,148,548,3870,3009,23046,36955,5026
1643,1982,NV,881000,69608,7096,62512,120,542,3697,2737,21256,36279,4977
1644,1983,NV,891000,59709,5838,53871,114,457,2737,2530,17922,31749,4200
1645,1984,NV,911000,59771,5726,54045,98,553,2542,2533,18023,31508,4514
1646,1985,NV,936000,61538,6244,55294,96,564,2573,3011,17312,33336,4646
1647,1986,NV,963000,60570,6923,53647,121,625,2763,3414,15446,33601,4600
1648,1987,NV,1007000,64160,7006,57154,85,622,2744,3555,16408,35157,5589
1649,1988,NV,1060000,68403,8275,60128,111,782,3087,4295,16376,37401,6351
1650,1989,NV,1111000,69679,6947,62732,91,662,2784,3410,15607,40686,6439
1651,1990,NV,1201833,72874,7222,65652,116,748,2864,3494,16434,42097,7121
1652,1991,NV,1284000,80876,8693,72183,152,848,4012,3681,18026,45781,8376
1653,1992,NV,1327000,82324,9247,73077,145,833,4397,3872,17108,46714,9255
1654,1993,NV,1389000,85842,12157,73685,144,846,4724,6443,17293,46137,10255
1655,1994,NV,1457000,97290,14597,82693,170,1001,5134,8292,19735,51893,11065
1656,1995,NV,1530000,100664,14461,86203,163,937,4966,8395,20235,54563,11405
1657,1996,NV,1603000,96052,13005,83047,220,856,4931,6998,19558,52295,11194
1658,1997,NV,1677000,101702,13395,88307,187,1005,5071,7132,21975,53112,13220
1659,1998,NV,1747000,92250,11244,81006,170,911,4453,5710,19873,47367,13766
1660,1999,NV,1809253,84185,10311,73874,165,943,4209,4994,17613,43167,13094
1661,2000,NV,1998257,85297,10474,74823,129,860,4543,4942,17526,44125,13172
1662,2001,NV,2097722,89845,12359,77486,180,883,4932,6364,17711,45073,14702
1663,2002,NV,2167455,97752,13856,83896,181,928,5118,7629,18951,47459,17486
1664,2003,NV,2242207,106063,13813,96128,197,871,5225,7520,21958,53321,20849
1665,2004,NV,2332898,112507,14379,98215,172,954,4905,8348,23142,52438,22635
1666,2005,NV,2412301,117078,14654,102424,206,1016,4702,8730,23481,52012,26931
1667,2006,NV,2495529,120544,18508,102036,224,1079,7027,10178,24820,50255,26961
1668,2007,NV,2565382,116173,19257,96916,192,1096,6932,11037,24840,49745,22331
1669,2008,NV,2615772,108790,18917,89873,165,1104,6475,11173,24208,49747,15918
1670,2009,NV,2643085,99615,18639,80976,156,1024,6028,11431,22115,46463,12398
1671,2010,NV,2704283,92933,17929,75004,158,965,5298,11508,22286,42533,10185
1672,2011,NV,2720028,85527,15452,70075,139,913,4308,10092,20342,40156,9577
1673,2012,NV,2754354,94273,16763,77510,124,931,4918,10790,22120,45372,10018
1674,2013,NV,2791494,96065,16888,79177,163,1090,5183,10060,23047,46132,9998
1675,2014,NV,2838281,92617,18043,74574,170,987,5954,10562,21924,42466,10184
1676,2015,NV,2883758,97255,20118,77137,178,1232,6287,11965,22360,43426,11351
1677,2016,NV,2940058,95983,19936,76047,224,1292,6340,11639,18850,44017,13180
1678,2017,NV,2972405,94983,16663,78320,266,1896,4841,9660,20049,45459,12812
1679,2018,NV,3027341,90713,16715,73998,202,2329,3862,10322,17741,44341,11916
1680,2019,NV,3080156,86735,15210,71525,143,2161,3286,9620,15510,44755,11260
1681,1960,NH,606921,4186,81,4105,8,25,18,30,1108,2646,351
1682,1961,NH,621000,5001,89,4912,4,19,21,45,1573,2884,455
1683,1962,NH,632000,6318,178,6140,15,22,22,119,1781,3821,538
1684,1963,NH,627000,5840,164,5676,20,30,43,71,1751,3354,571
1685,1964,NH,654000,6322,149,6173,6,25,43,75,1827,3797,549
1686,1965,NH,669000,7036,156,6880,18,14,46,78,2117,4176,587
1687,1966,NH,681000,7750,259,7491,13,30,70,146,2382,4411,698
1688,1967,NH,686000,7673,218,7455,14,23,42,139,2350,4338,767
1689,1968,NH,702000,9111,279,8832,10,19,72,178,2605,5235,992
1690,1969,NH,717000,10831,325,10506,18,29,75,203,3322,6157,1027
1691,1970,NH,737681,12704,413,12291,15,44,89,265,4172,6850,1269
1692,1971,NH,762000,15798,580,15218,17,63,123,377,5082,8734,1402
1693,1972,NH,771000,15352,491,14861,13,54,103,321,4600,9299,962
1694,1973,NH,791000,18425,649,17776,17,75,105,452,5418,10863,1495
1695,1974,NH,808000,25403,739,24664,28,68,209,434,6629,15942,2093
1696,1975,NH,818000,27375,816,26559,24,71,236,485,6978,17470,2111
1697,1976,NH,822000,29685,709,28976,27,80,204,398,7706,19196,2074
1698,1977,NH,849000,32195,960,31235,27,91,197,645,8844,19900,2491
1699,1978,NH,871000,35428,1035,34393,12,82,229,712,10101,21630,2662
1700,1979,NH,887000,40614,1241,39373,21,152,254,814,10635,25856,2882
1701,1980,NH,919114,43011,1653,41358,23,159,386,1085,12067,26443,2848
1702,1981,NH,935000,40409,1375,39034,27,154,335,859,11090,25692,2252
1703,1982,NH,951000,36416,1187,35229,21,154,322,690,8987,24115,2127
1704,1983,NH,959000,32187,1200,30987,19,187,231,763,7882,21359,1746
1705,1984,NH,977000,30655,1308,29347,10,202,227,869,7190,20314,1843
1706,1985,NH,998000,32454,1405,31049,21,191,266,927,7608,21459,1982
1707,1986,NH,1027000,34200,1433,32767,23,221,242,947,7754,22675,2338
1708,1987,NH,1057000,35639,1581,34058,32,281,280,988,7344,24426,2288
1709,1988,NH,1097000,36573,1622,34951,25,276,231,1090,7489,24964,2498
1710,1989,NH,1107000,39810,1865,37945,36,327,264,1238,8157,27087,2701
1711,1990,NH,1109252,40435,1459,38976,21,386,302,750,8158,28111,2707
1712,1991,NH,1105000,38098,1318,36780,40,330,365,583,8126,26220,2434
1713,1992,NH,1111000,34225,1397,32828,18,424,367,588,6909,23754,2165
1714,1993,NH,1125000,32681,1550,31131,23,499,307,721,5795,23153,2183
1715,1994,NH,1137000,31165,1328,29837,16,407,308,597,5275,22260,2302
1716,1995,NH,1148000,30484,1314,29170,21,333,314,646,4806,22698,1666
1717,1996,NH,1162000,32809,1373,31436,20,404,317,632,5063,24611,1762
1718,1997,NH,1173000,30963,1328,29635,16,395,274,643,4612,23430,1593
1719,1998,NH,1185000,28675,1270,27405,18,400,255,597,3852,22079,1474
1720,1999,NH,1201134,27406,1159,26247,18,345,257,539,3698,21195,1354
1721,2000,NH,1235786,30068,2167,27901,22,522,453,1170,4992,20761,2148
1722,2001,NH,1259359,29233,2144,27089,17,458,445,1224,4889,20060,2140
1723,2002,NH,1274405,28306,2056,26250,12,446,413,1185,4838,19468,1944
1724,2003,NH,1288705,28393,1937,26456,17,438,480,1002,4589,19934,1933
1725,2004,NH,1299169,28860,2202,26658,17,466,500,1219,4979,19723,1956
1726,2005,NH,1306819,25792,1761,24031,19,406,365,971,4192,18493,1346
1727,2006,NH,1314895,25466,1824,24642,13,344,423,1044,4358,18862,1422
1728,2007,NH,1315828,26703,1807,24896,15,333,432,1027,4986,18611,1299
1729,2008,NH,1321872,30181,2127,28054,14,400,424,1289,4332,22316,1406
1730,2009,NH,1324575,30915,2125,28790,11,399,454,1261,4915,22748,1127
1731,2010,NH,1316807,31434,2204,29230,13,411,450,1330,5444,22789,997
1732,2011,NH,1317807,35620,2864,32756,16,581,509,1758,6244,25398,1114
1733,2012,NH,1321617,34915,2841,32074,15,486,471,1869,5988,25024,1062
1734,2013,NH,1322616,32230,2952,29278,21,522,647,1506,4979,23355,944
1735,2014,NH,1327996,28723,2625,26098,16,438,544,1469,4191,21051,856
1736,2015,NH,1330111,26145,2692,23453,15,468,475,1558,3482,19076,895
1737,2016,NH,1334795,22831,2637,20194,17,423,427,1611,2963,16360,871
1738,2017,NH,1349767,21192,2642,18550,13,619,441,1569,2554,15087,909
1739,2018,NH,1353465,19605,2404,17201,21,578,342,1463,1908,14396,897
1740,2019,NH,1359711,18516,2074,16442,33,590,313,1138,1717,13832,893
1741,1960,NJ,6066782,90441,6932,83509,164,442,2591,3735,25698,45903,11908
1742,1961,NJ,6244000,96057,6682,89375,153,458,2371,3700,29329,47145,12901
1743,1962,NJ,6245000,108899,7874,101025,187,510,2816,4361,31868,54516,14641
1744,1963,NJ,6470000,122867,8849,114018,181,561,3367,4740,35993,61199,16826
1745,1964,NJ,6682000,137594,10456,127138,207,609,3812,5828,40143,68072,18923
1746,1965,NJ,6774000,138636,10422,128214,219,605,3753,5845,42113,66177,19924
1747,1966,NJ,6898000,160622,11168,149454,240,640,4397,5891,49176,77374,22904
1748,1967,NJ,7003000,191720,13204,178516,276,677,5777,6474,60321,88412,29783
1749,1968,NJ,7078000,230341,16711,213630,358,801,8747,6805,71621,105309,36700
1750,1969,NJ,7148000,230927,17226,213701,369,914,9657,6286,68123,108336,37242
1751,1970,NJ,7168164,256287,20583,235704,412,927,12145,7099,74649,121098,39957
1752,1971,NJ,7300000,289466,26441,263025,426,1058,16062,8895,88720,131959,42346
1753,1972,NJ,7367000,282894,27577,255317,481,1243,15478,10375,87981,124153,43183
1754,1973,NJ,7361000,300512,28845,271667,546,1383,15179,11737,91609,137899,42159
1755,1974,NJ,7330000,349764,29568,320196,497,1441,15879,11751,104774,175349,40073
1756,1975,NJ,7316000,376357,30215,346142,500,1385,16287,12043,111288,195517,39337
1757,1976,NJ,7336000,396182,29107,367075,380,1461,14695,12571,110346,219267,37462
1758,1977,NJ,7329000,374795,28732,346063,408,1537,13223,13564,105229,203345,37489
1759,1978,NJ,7327000,381528,31027,350501,398,1727,14112,14790,106700,202726,41075
1760,1979,NJ,7332000,426765,36747,390018,484,2037,18332,15894,117421,221552,51045
1761,1980,NJ,7342164,469996,44373,425623,504,2257,22299,19313,137900,234160,53563
1762,1981,NJ,7401000,457367,46674,410693,542,2374,24761,18997,128274,231846,50573
1763,1982,NJ,7438000,422191,45175,377016,482,2149,22880,19664,106418,223978,46620
1764,1983,NJ,7468000,385600,41304,344296,399,2266,20086,18553,92391,206778,45127
1765,1984,NJ,7515000,364890,39659,325231,402,2446,18218,18593,79871,202181,43179
1766,1985,NJ,7562000,385239,41172,344067,407,2424,19282,19059,79923,213907,50237
1767,1986,NJ,7620000,399387,43623,355764,399,2531,20473,20220,81595,215073,59096
1768,1987,NJ,7672000,403662,41507,362155,351,2559,17862,20735,77392,219906,64857
1769,1988,NJ,7720000,408800,44993,363807,411,2600,18927,23055,75675,219086,69046
1770,1989,NJ,7736000,407643,47111,360532,394,2449,21139,23129,75548,213878,71106
1771,1990,NJ,7730188,421080,50057,371023,432,2307,23269,24049,78628,219767,72628
1772,1991,NJ,7760000,421469,49257,372212,406,2259,22744,23848,78821,221544,71847
1773,1992,NJ,7789000,394463,48745,345718,397,2392,22216,23740,75508,206686,63524
1774,1993,NJ,7879000,378257,49390,328867,418,2215,23319,23438,76738,195876,56253
1775,1994,NJ,7904000,368400,48544,319856,396,1972,22762,23414,72074,195618,52164
1776,1995,NJ,7945000,373708,47652,326056,409,1927,22486,22830,69533,206339,50184
1777,1996,NJ,7988000,346116,42459,303657,338,1976,18838,21307,63259,193961,46437
1778,1997,NJ,8053000,326711,39673,287038,337,1729,16957,20650,60894,184979,41165
1779,1998,NJ,8115000,296527,35717,260810,322,1623,15109,18663,54459,171166,35185
1780,1999,NJ,8143412,276873,33540,243333,287,1409,14243,17601,46998,160978,35357
1781,2000,NJ,8414350,265935,32298,233637,289,1357,13553,17099,43924,155562,34151
1782,2001,NJ,8511116,273645,33094,240551,336,1278,14110,17379,46812,156031,37708
1783,2002,NJ,8575252,259967,32252,227715,339,1365,13955,16593,43899,148061,35755
1784,2003,NJ,8642412,251838,31488,220350,406,1288,13342,16452,43457,142287,34606
1785,2004,NJ,8685166,242256,30943,211313,392,1331,13076,16144,41030,139977,30306
1786,2005,NJ,8703150,234310,30919,203391,417,1208,16079,16073,38980,136728,27683
1787,2006,NJ,8724560,230630,30672,199958,428,1237,13357,15650,39433,135801,24724
1788,2007,NJ,8685920,220827,28601,192226,380,1050,12549,14622,37482,132791,21953
1789,2008,NJ,8663398,227478,28351,199127,376,1122,12701,14152,40402,138545,20180
1790,2009,NJ,8707739,207865,27113,180752,319,1041,11639,14114,36945,128303,15504
1791,2010,NJ,8799593,210097,27055,183042,371,981,11818,13885,38732,128754,15556
1792,2011,NJ,8834773,216922,27203,189719,380,1006,12209,13608,43238,129066,17415
1793,2012,NJ,8867749,207208,25727,181481,388,1035,11385,12919,42338,122662,16481
1794,2013,NJ,8911502,193382,25748,167634,404,861,12084,12071,35883,118005,13746
1795,2014,NJ,8938844,178264,23319,154945,352,953,10499,11188,31707,111534,11704
1796,2015,NJ,8935421,168580,22879,145701,363,1019,9729,11414,27960,105963,11778
1797,2016,NJ,8944469,160066,21914,138152,372,1089,8984,11105,25284,101540,11328
1798,2017,NJ,8888543,160690,20604,140086,324,1505,7895,10880,23891,104025,12170
1799,2018,NJ,8886025,143691,18536,125155,285,1424,6364,10463,19232,94886,11037
1800,2019,NJ,8882190,137012,18375,118637,262,1531,5730,10852,16399,91902,10336
1801,1960,NM,951023,22697,1360,21337,70,117,376,797,4331,14501,2505
1802,1961,NM,983000,21551,1278,20273,67,127,381,703,4357,13744,2172
1803,1962,NM,1020000,22992,1338,21654,64,127,419,728,5256,14109,2289
1804,1963,NM,1018000,24659,1376,23283,57,124,385,810,6080,14841,2362
1805,1964,NM,1008000,26916,1613,25303,56,124,476,957,6782,16108,2413
1806,1965,NM,1029000,29426,2047,27379,65,142,449,1391,7563,17491,2325
1807,1966,NM,1022000,33354,2221,31133,64,138,458,1561,9380,18971,2782
1808,1967,NM,1003000,32802,2325,30477,66,155,456,1648,8539,19378,2560
1809,1968,NM,1015000,38540,2543,35997,65,214,513,1751,9848,22792,3357
1810,1969,NM,994000,44854,2881,41973,63,249,647,1922,12234,25622,4117
1811,1970,NM,1016000,45070,3093,41977,98,227,687,2081,12156,25729,4092
1812,1971,NM,1030000,52589,3994,48595,124,270,1062,2538,14596,29274,4725
1813,1972,NM,1065000,52700,4598,48102,122,359,1295,2822,15650,28409,4043
1814,1973,NM,1106000,54549,5219,49330,130,366,1424,3299,16601,28914,3815
1815,1974,NM,1122000,58489,5053,53436,127,391,1398,3137,17762,32240,3434
1816,1975,NM,1147000,66978,6134,60844,153,470,1453,4058,19828,37378,3638
1817,1976,NM,1168000,72591,6475,66116,113,479,1457,4426,19617,42650,3849
1818,1977,NM,1190000,61733,5961,55772,105,465,1304,4087,16882,35802,3088
1819,1978,NM,1212000,62786,6402,56384,124,517,1352,4409,16188,36393,3803
1820,1979,NM,1241000,71835,7272,64563,154,582,1502,5034,18385,41745,4433
1821,1980,NM,1295474,77457,7967,69490,170,561,1657,5579,19335,45613,4542
1822,1981,NM,1327000,82282,8913,73369,151,628,1868,6266,21405,47252,4712
1823,1982,NM,1359000,89798,9982,79816,158,656,1715,7453,22135,53402,4279
1824,1983,NM,1399000,88783,9608,79175,124,671,1595,7218,21813,53077,4285
1825,1984,NM,1424000,88906,9798,79108,130,783,1856,7029,23349,51195,4564
1826,1985,NM,1450000,94050,10207,83843,158,722,2003,7324,25432,53398,5013
1827,1986,NM,1479000,97997,10731,87266,170,693,1916,7952,27283,54906,5077
1828,1987,NM,1500000,98202,9427,88775,152,646,1625,7004,26815,56777,5183
1829,1988,NM,1510000,99755,9938,89817,173,580,1557,7628,27737,56192,5888
1830,1989,NM,1528000,100448,10755,89693,132,702,1607,8314,26146,58201,5346
1831,1990,NM,1515069,101269,11821,89448,139,753,1744,9185,26343,58004,5101
1832,1991,NM,1548000,103396,12922,90474,163,811,1862,10086,26672,58441,5361
1833,1992,NM,1581000,101723,14781,86942,141,990,2202,11448,23896,57072,5974
1834,1993,NM,1616000,101260,15024,86236,130,842,2237,11815,22966,56723,6547
1835,1994,NM,1654000,102346,14708,87638,177,866,2329,11336,21945,57343,8350
1836,1995,NM,1685000,108312,13804,94508,148,954,2604,10098,24383,61478,8647
1837,1996,NM,1713000,113097,14399,98698,197,1088,2782,10332,23586,65139,9973
1838,1997,NM,1730000,119483,14762,104721,134,872,2966,10790,25126,67188,12407
1839,1998,NM,1737000,116711,16700,100011,190,957,2839,12714,24213,65031,10767
1840,1999,NM,1739844,103740,14520,89220,170,944,2579,10827,21481,59613,8126
1841,2000,NM,1819046,100391,13786,86605,135,922,2499,10230,21339,57925,7341
1842,2001,NM,1830935,97383,14288,83095,99,850,2695,10644,19552,56406,7137
1843,2002,NM,1852044,94196,13719,80477,152,1027,2206,10334,19634,53406,7437
1844,2003,NM,1878562,89351,12535,76816,116,940,1937,9542,18997,50595,7224
1845,2004,NM,1903006,92976,13081,79895,169,1039,2062,9811,19924,52069,7902
1846,2005,NM,1925985,92033,12448,79575,144,1041,1893,9370,20939,50707,7929
1847,2006,NM,1954599,89528,12572,76956,132,1094,2105,9241,20909,46822,9225
1848,2007,NM,1969915,86479,13085,73394,162,1032,2321,9570,18992,45463,8939
1849,2008,NM,1986763,88760,13010,75750,150,1114,2152,9594,20720,47004,8026
1850,2009,NM,2009671,87348,12709,74639,198,1069,1932,9510,21955,46182,6502
1851,2010,NM,2065913,82923,12147,70776,140,959,1616,9432,21023,44503,5250
1852,2011,NM,2078674,85453,11904,73549,158,856,1720,9170,21419,46730,5400
1853,2012,NM,2083540,86754,11660,75094,116,957,1847,8740,21384,48247,5463
1854,2013,NM,2086895,91948,12990,78958,123,1135,1832,9470,21828,51146,5984
1855,2014,NM,2085567,86342,12465,73877,101,1070,2086,8797,18505,49082,6290
1856,2015,NM,2080328,90884,13672,77212,117,1218,2485,9407,17084,51485,8643
1857,2016,NM,2081015,96550,14619,81931,139,1117,2737,10217,17281,52907,11743
1858,2017,NM,2093395,98165,16300,81865,144,1244,3732,11180,17872,52284,11709
1859,2018,NM,2092741,88359,17637,70722,153,1302,2646,13536,16102,44592,10028
1860,2019,NM,2096829,82719,17450,65269,181,1288,2341,13640,14610,41702,8957
1861,1965,NY,18073000,554050,58802,495248,836,2320,28182,27464,183443,253353,58452
1862,1966,NY,18258000,609465,62561,546904,882,2439,30098,29142,196127,286409,64368
1863,1967,NY,18336000,692528,75124,617404,996,2665,40202,31261,219157,314472,83775
1864,1968,NY,18113000,829453,98515,730938,1185,2527,59857,34946,250918,375143,104877
1865,1969,NY,18321000,837210,105870,731340,1324,2902,64754,36890,248477,367463,115400
1866,1970,NY,18190740,904314,124613,779701,1444,2875,81149,39145,267474,386553,125674
1867,1971,NY,18391000,935022,145048,789974,1823,3225,97682,42318,273704,388612,127658
1868,1972,NY,18366000,804605,138542,666063,2026,4199,86391,45926,239886,321096,105081
1869,1973,NY,18265000,814349,135468,678881,2040,4852,80795,47781,246246,320307,112328
1870,1974,NY,18111000,911703,145427,766276,1919,5240,86814,51454,271824,390357,104095
1871,1975,NY,18120000,1021197,155187,866010,1996,5099,93499,54593,301996,447740,116274
1872,1976,NY,18084000,1125739,156988,968751,1969,4663,95718,54638,318919,516328,133504
1873,1977,NY,17924000,1091144,149087,942057,1919,5272,84703,57193,309735,498653,133669
1874,1978,NY,17748000,1027993,149257,878736,1820,5168,83785,58484,292956,466516,119264
1875,1979,NY,17649000,1095140,161906,933234,2092,5394,93471,60949,308302,500589,124343
1876,1980,NY,17506690,1209984,180235,1029749,2228,5405,112273,60329,360925,535783,133041
